Company,Registered Name(s),Town/City,Rating
Sky,Sky Technology Solutions Limited,London,Worker (A rating)
Sky,Sky UK Limited,Middlesex,Worker (A rating)
Skyscanner,Skyscanner Limited,Edinburgh,Worker (A rating)
Snowflake,Snowflake Computing U.K. Limited,London,Worker (A rating)
Snyk,Snyk Limited,London,Worker (A rating)
Softwire,Softwire Technology Limited,London,Worker (A rating)
Sophos,SOPHOS LIMITED,Abingdon,Worker (A rating)
Speechmatics,CANTAB RESEARCH LIMITED,Cambridge,Worker (A rating)
Spotify,Spotify Limited,London,Worker (A rating)
Stability AI,Stability AI Ltd,London,Worker (A rating)
Starling Bank,STARLING BANK LIMITED,London,Worker (A rating)
Stripe,Stripe Payments UK Ltd,London,Worker (A rating)
Synthesia,Synthesia Limited,London,Worker (A rating)
TCS,Tata Consultancy Services,London,Worker (A rating)
THG,THG PLC,Ringway,Worker (A rating)
TPP,The Phoenix Partnership (Leeds) Limited,Leeds,Worker (A rating)
Tesco,Tesco Stores Limited,Welwyn Garden City,Worker (A rating)
Thought Machine,Thought Machine Group Limited,London,Worker (A rating)
Tide,Tide Platform Ltd,London,Worker (A rating)
Tractable,TRACTABLE LTD,LONDON,Worker (A rating)
Trainline,Trainline.com Ltd,London,Worker (A rating)
Twilio,Twilio UK Limited,London,Worker (A rating)
Uber,Uber London Limited,London,Worker (A rating)
UiPath,UIPATH UK LIMITED,LONDON,Worker (A rating)
V7,V7 Ltd,London,Worker (A rating)
Visa,VISA EUROPE LIMITED,LONDON,Worker (A rating)
Visa,Visa Europe Limited,London,Worker (A rating)
Vodafone,Vodafone Group Services Limited,Newbury,Worker (A rating)
Vodafone,Vodafone Limited,Newbury,Worker (A rating)
Wayfair,Wayfair (UK) Limited,London,Worker (A rating)
Wayve,Wayve Technologies Ltd,London,Worker (A rating)
Wipro,Wipro Limited,London,Worker (A rating)
Wise,Wise Payments Limited,London,Worker (A rating)
Zoopla,Zoopla Ltd,London,Worker (A rating)
Zopa,Zopa Bank Limited,London,Worker (A rating)
